Name	Portuguese	Semantic	Concepticon	Eol
DREAM	SONHO / SONHAR	BODY	2374	
DREAM (verb)	SONHAR	BODY	1920
DRESS UP	VESTIR (-SE)	CLOTHING_AND_GROOMING	814	
DRINK (v)	BEBER	FOOD_AND_DRINK	1401	
DRY	SECAR	BASIC_ACTIONS_AND_TECHNOLOGY	1786	
DRY (STATE)	SECO	SENSE_PERCEPTION	1398	
EARTH / LAND	TERRA / PAÍS	PHYSICAL_WORLD	3603	
EAR	ORELHA	BODY	1247	
EAT (intr.)	COMER	FOOD_AND_DRINK	1336	
EAT (tr.)	COMER	FOOD_AND_DRINK	1336	
EGG	OVO	FOOD_AND_DRINK	744	
CECROPIA	EMBAÚBA / IMBAÚBA	AGRICULTURE_AND_VEGETATION		61334
ELECTRIC EEL	ENGUIA / PEIXE ELÉTRICO / PORAQUÊ	ANIMALS	2443	206595
ENTER	ENTRAR	MOTION	749	
EYE	OLHO	BODY	1248	
FACE	CARA / ROSTO / FACE	BODY	1560	
FALL	CAIR	MOTION	1280	
FAR	LONGE	SPATIAL_RELATIONS	1406	
FAT / GREASE	GORDURA / BANHA	FOOD_AND_DRINK	1282	
FATHER	PAI	KINSHIP	1217	
FEAR / BE AFRAID	TEMER / TER MEDO	EMOTIONS_AND_VALUES	1419	
FEATHER	PENA / PLUMA	BODY	1201	
FINGER	DEDO	BODY	1303	
FIRE	FOGO	PHYSICAL_WORLD	221	
FIREFLY / GLOWWORM	VAGALUME / PIRILAMPO	ANIMALS	206	7487
FIREWOOD	LENHA	PHYSICAL_WORLD	10	
FISH	PEIXE	ANIMALS	227	
FISHHOOK	ANZOL	WARFARE_AND_HUNTING	1074	
FLAT	PLANO / LISO	SPATIAL_RELATIONS	1633	
FLEA / CHIGGER	PULGA	ANIMALS	232	3197988
FLESH / MEAT	CARNE	FOOD_AND_DRINK	2615	
FLOUR	FARINHA	FOOD_AND_DRINK	1594	
FLOWER	FLOR	AGRICULTURE_AND_VEGETATION	239	
FLY	VOAR	MOTION	1441	
FLY (INSECT)	MOSCA	ANIMALS	1504	421
FOOD	COMIDA	FOOD_AND_DRINK	256	
FOOT	PÉ	BODY	1301	
FORGET	ESQUECER	COGNITION	1523	
FOUR	QUATRO	QUANTITY	1500	
FROG / TOAD	SAPO	ANIMALS	503	1553
FRUIT	FRUTA	FOOD_AND_DRINK	1507	
FULL	CHEIO	QUANTITY	1429	
GATHER	(A)JUNTAR / RECOLHER	SPATIAL_RELATIONS	7	
GENIPA	JENIPAPO / GENIPA	AGRICULTURE_AND_VEGETATION		23769802
GIRL	MENINA	KINSHIP	1646	
GIVE	DAR	POSSESSION	1447	
GNAT / PIUM	PERNILONGO / MURIÇOCA / MOSQUITO	ANIMALS		49316918
GO	IR	MOTION	695	
GO UP	SUBIR	MOTION	705	
GOOD / WELL	BOM / BEM	EMOTIONS_AND_VALUES	1035	
GRANDFATHER	AVÔ	KINSHIP	1383	
GRASS	GRAMA	AGRICULTURE_AND_VEGETATION	606	
GREEN	VERDE	SENSE_PERCEPTION	1425 / 2382	
GROW	CRESCER	SPATIAL_RELATIONS	479	
GREEN IGUANA	CAMALEÃO	ANIMALS	1578	793235
GUAN / JACU	JACÚ	ANIMALS	437	45508953
HAIR	CABELO	BODY	2648	
HAMMOCK	REDE	HOUSE	2019	
HAND	MÃO	BODY	1277	
HAPPY	FELIZ / CONTENTE	EMOTIONS_AND_VALUES	1495	
HAWK	GAVIÃO	ANIMALS	307	
HEAD	CABEÇA	BODY	1256	
HEAL	CURAR / SARAR	BODY	499	
HEAR / LISTEN	ESCUTAR / OUVIR	SENSE_PERCEPTION	1408 / 1608	
HEART	CORAÇÃO	BODY	1223	
HEAVY	PESADO	SENSE_PERCEPTION	1210	
HEDGEHOG	OURIÇO / PORCO-ESPINHO	ANIMALS	1797	327162
HELP	AJUDAR	SOCIAL_AND_POLITICAL_RELATIONS	1897	
HEN / CHICKEN	GALINHA	ANIMALS	1318	49953003
HERE	AQUI	MISCELLANEOUS_FUNCTION_WORDS	136	
HIDE	ESCONDER	SPATIAL_RELATIONS	2486	
HIT	BATER	BASIC_ACTIONS_AND_TECHNOLOGY	1433	
HOLE	BURACO	SPATIAL_RELATIONS	1667	
HONEY	MEL	FOOD_AND_DRINK	942	
HORN	CHIFRE	BODY	1393	
HOT	QUENTE	SENSE_PERCEPTION	1286	
HOUSE	CASA	HOUSE	1252	
HOWLER MONKEY	(MACACO)BUGIO / GUARIBA	ANIMALS	433	41553
HUMMINGBIRD	BEIJA-FLOR / COLIBRI	ANIMALS	1589	8021
HUNT	CAÇAR	WARFARE_AND_HUNTING	1435	
HUSBAND	MARIDO	KINSHIP	1200	
I	EU	MISCELLANEOUS_FUNCTION_WORDS	1209	
INGA	INGÁ	FOOD_AND_DRINK		47114559
INSIDE	DENTRO (DE)	FUNCTION_WORD	1606	
JACARÉ / CAIMAN / CROCODILE	JACARÉ	ANIMALS	1857	2820255
JAGUAR	ONÇA	ANIMALS	1250	328606
JUMP	SALTAR	MOTION	1829	
KILL	MATAR	BODY	1417	
KING FISHER	GUARDA-RIOS / MARTIM-PESCADOR	ANIMALS		7975
KNEE	JOELHO	BODY	1371	
KNIFE	FACA	BASIC_ACTIONS_AND_TECHNOLOGY	1352	
KNOW	SABER	COGNITION	3626	
LAKE	LAGO / LAGOA	PHYSICAL_WORLD	624	
LARGE ANT / BULLET ANT	TOCANDIRA / TUCANDEIRA	ANIMALS		403327
LARGE MANDI FISH	BAGRE / MANDI / SURUBIM-BAGRE	ANIMALS		46582210
LAUGH	RIR	EMOTIONS_AND_VALUES	1355	
LEAF	FOLHA	AGRICULTURE_AND_VEGETATION	628	
LEARN	APRENDER	COGNITION	504	
LEAVE / GO OUT	SAIR	MOTION	1752	
LEG	PERNA	BODY	1297	
LIE (down)	DEITAR (-SE)	SPATIAL_RELATIONS	2071	
LIVER	FÍGADO	BODY	1224	
LIZARD	LAGARTO / CALANGO	ANIMALS	632	
LONG / TALL	COMPRIDO / LONGO / ALTO	SPATIAL_RELATIONS	1203 / 2143	
LOOK AT	OLHAR	SENSE_PERCEPTION	1819	
GETLOST / LOOSEONES	PERDER-SE	SENSE_PERCEPTION	423	
LOUSE	PIOLHO	ANIMALS	1392	1002
