Language	Concept	Portuguese	Form	Semantic	Concepticon	Cognate	Notes
Ramarama †	HIDE	ESCONDER		SPATIAL RELATIONS	2486		
Ramarama †	HIT	BATER		BASIC ACTIONS AND TECHNOLOGY	1433		
Ramarama †	HOLE	BURACO		SPATIAL RELATIONS	1667		
Ramarama †	HONEY	MEL		FOOD AND DRINK	942		
Ramarama †	HORN	CHIFRE		BODY	1393		
Ramarama †	HOT	QUENTE		SENSE PERCEPTION	1286		
Ramarama †	HOUSE	CASA		HOUSE	1252		
Ramarama †	HOWLER MONKEY	(MACACO) BUGIO / GUARIBA		ANIMALS	433		
Ramarama †	HUMMINGBIRD	BEIJA-FLOR / COLIBRI		ANIMALS	1589		
Ramarama †	HUNT	CAÇAR		WARFARE AND HUNTING	1435		
Ramarama †	HUSBAND	MARIDO		KINSHIP	1200		
Ramarama †	I	EU		MISCELLANEOUS FUNCTION WORD	1209		
Ramarama †	INGA	INGÁ					
Ramarama †	INSIDE	DENTRO (DE)			1606		
Ramarama †	JACARÉ / CAIMAN / CROCODILE	JACARÉ		ANIMALS	1857		
Ramarama †	JAGUAR	ONÇA		ANIMALS	1250		
Ramarama †	JUMP			MOTION	1829		
Ramarama †	KILL	MATAR		BODY	1417		
Ramarama †	KING FISHER	GUARDA-RIOS / MARTIM-PESCADOR		ANIMALS			
Ramarama †	KNEE	JOELHO		BODY	1371		
Ramarama †	KNIFE	FACA		BASIC ACTIONS AND TECHNOLOGY	1352		
Ramarama †	KNOW	SABER		COGNITION	3626		
Ramarama †	LAKE	LAGO / LAGOA		PHYSICAL WORLD	624		
Ramarama †	LARGE ANT / BULLET ANT	TOCANDIRA / TUCANDEIRA		ANIMALS			
Ramarama †	LARGE MANDI FISH	BAGRE / MANDI / SURUBIM-BAGRE		ANIMALS			
Ramarama †	LAUGH	RIR		EMOTIONS AND VALUES	1355		
Ramarama †	LEAF	FOLHA		AGRICULTURE AND VEGETATION	628		
Ramarama †	LEARN	APRENDER		COGNITION	504		
Ramarama †	LEAVE / GO OUT	SAIR		MOTION	1752		
Ramarama †	LEG	PERNA		BODY	1297		
Ramarama †	LAY (DOWN)	DEITAR(-SE)		SPATIAL RELATIONS	2071		
Ramarama †	LIVER	FÍGADO		BODY	1224		
Ramarama †	LIZARD	LAGARTO / CALANGO		ANIMALS	632		
Ramarama †	LONG / TALL	COMPRIDO / LONGO / ALTO		PATIALRELATIONS	1203 / 2143		
Ramarama †	LOOK AT	OLHAR		SENSE  AND PERCEPTION	1819		
Ramarama †	GETLOST / LOOSEONES	PERDER-SE		SENSE AND PERCEPTION	423		
Ramarama †	LOUSE	PIOLHO		ANIMALS	1392		
Ramarama †	MACAW	ARARA		ANIMALS	1630		
Ramarama †	MAGGOT / LARVA	LARVA		ANIMALS	/ 2640		
Ramarama †	MAN	HOMEM		KINSHIP	1554		
Ramarama †	MANIOC	MADIOCA		AGRICULTURE AND VEGETATION	927		
Ramarama †	MANY	MUITOS		QUANTITY	1198		
Ramarama †	MEDICINE	REMÉDIO		BODY	1372		
Ramarama †	MILK	LEITE		FOOD AND DRINK	635		
Ramarama †	MONKEY	MACACO		ANIMALS	1350		
Ramarama †	MOON	LUA		PHYSICAL WORLD	1313		
Ramarama †	MORNING	MANHÃ		TIME	1339		
Ramarama †	MOUNTAIN / HILL	MONTANHA / MONTE / MORRO		PHYSICAL WORLD	639 / 2118		
Ramarama †	MOSQUITO	PERNILONGO / MURIÇOCA / CARAPANÃ		ANIMALS	1509		
Ramarama †	MOTHER	MOTHER		KINSHIP	1216		
Ramarama †	MOTHER-IN-LAW (OF MEN)	SOGRA(DE HOMEM)		KINSHIP	2257		
Ramarama †	MOTHER-IN-LAW (OF WOMAN)	SOGRA(DE MULHER)		KINSHIP	2256		
Ramarama †	MOULD	MOFO		PHYSICAL WORLD			
Ramarama †	MOUSTACHE	BIGODE		BODY	1165		
Ramarama †	MOUTH	BOCA		BODY	674		
Ramarama †	NAIL / CLAW	UNHA / GARRA		BODY	2128		
Ramarama †	NAME	NOME		SPEECH AND LANGUAGE	1405		
Ramarama †	NECK	PESCOÇO		BODY	1333		
Ramarama †	NEST	NINHO		ANIMALS	539		
Ramarama †	NEW	NOVO		TIME	1231		
Ramarama †	NIGHT	NOITE		TIME	1233		
Ramarama †	NOSE	NARIZ		BODY	1221		
Ramarama †	NOW	AGORA		TIME	1376		
Ramarama †	OAR	REMO		MOTION	3137		
Ramarama †	OLD (ADJ)	VELHO		TIME	1229		
Ramarama †	ONE	UM		QUANTITY	1493		
Ramarama †	OPEN	ABRIR		SPATIAL RELATIONS	1156		
Ramarama †	OPOSSUM / SKUNK	GAMBÁ		ANIMALS	309		
Ramarama †	OTHER / SOME	OUTRO / ALGUM		MISCELLANEOUS FUNCTION WORDS	197 /1241		
Ramarama †	OWL	CORUJA		ANIMALS	735		
Ramarama †	PACA	PACA		ANIMALS	316		
Ramarama †	PACU FISH	PACU		ANIMALS			
Ramarama †	PAIN / HURT	DOR / MACHUCADO		EMOTIONS AND VALUES	1783 / 2561		
Ramarama †	PAN	PANELA		FOOD AND DRINK	31		
Ramarama †	PAPAYA	MAMÃO		AGRICULTURE AND VEGETATION	2445		
Ramarama †	PARROT	PAPAGAIO		ANIMALS	882		
Ramarama †	PATH / WAY	CAMINHO		MOTION	2252		
Ramarama †	PEACH PALM	PUPUNHA		AGRICULTURE AND VEGETATION			
Ramarama †	PEANUT	AMENDOIM		AGRICULTURE AND VEGETATION	2364		
Ramarama †	PECCARY (COLLARED)	PORCO DO MATO / CAITITU / CAITETU		ANIMALS	435		
Ramarama †	PECCARY (WHITE-LIPPED)	QUEIXADA		ANIMALS	436		
Ramarama †	PENIS	PÊNIS		BODY	1222		
Ramarama †	PEPPER	PIMENTA		FOOD AND DRINK	1385		
Ramarama †	PERSON / HB / SOMEONE	PESSOA / SERHUMANO / ALGUÉM		KINSHIP	683		
Ramarama †	PESTLE	PILÃO		FOOD AND DRINK	225		
Ramarama †	PESTLE (VERB)	PILAR					
Ramarama †	PIERCE	FURAR / ESPETAR		BASIC ACTIONS AND TECHNOLOGY	398		
Ramarama †	PINEAPPLE	ABACAXI		FOOD AND DRINK	2440		
Ramarama †	PIRANHA	PIRANHA		ANIMALS	317		
Ramarama †	PLAY	BRINCAR		EMOTIONS AND VALUES	1413		
Ramarama †	PLAY (2) (CAUSE TO JUMP)			EMOTIONS AND VALUES			
Ramarama †	PORRIDGE	MINGAU		FOOD AND DRINK			
Ramarama †	PUMPKIN	ABÓBORA / MORANGA /		FOOD AND DRINK	864		
Ramarama †	PUT	PÔR / COLOCAR		SPATIAL RELATIONS	998		
Ramarama †	RAIN	CHUVA		PHYSICAL WORLD	658		
Ramarama †	RAT	RATO		ANIMALS	1490		
Ramarama †	RAW	CRU		FOOD AND DRINK	1959		
Ramarama †	RED	VERMELHO		SENSE PERCEPTION	156		
Ramarama †	REMEMBER	LEMBRAR(-SE)		COGNITION	707		
Ramarama †	RESIN	RESINA		THE PHYSICAL WORLD	664		
Ramarama †	RETURN / COME BACK	VIRAR / VOLTAR		MOTION	581		
Ramarama †	RIPE	MADURO		FOOD AND DRINK	178		
Ramarama †	RIVER	RIO		PHYSICAL WORLD	666		
Ramarama †	ROAST	ASSAR		FOOD AND DRINK	1962		
Ramarama †	ROOT	RAÍZ		AGRICULTURE AND VEGETATION	670		
Ramarama †	ROPE	CORDA		BASIC ACTIONS AND TECHNOLOGY	1218		
Ramarama †	ROUND	REDONDO		SPATIAL RELATIONS	1395		
Ramarama †	ROW	REMAR		MOTION	1849		
Ramarama †	RUN	CORRER		MOTION	1519		
Ramarama †	SAD(NESS)	TRISTE(ZA)		EMOTIONS AND VALUES	699		
Ramarama †	SALIVA	SALIVA		BODY	1503		
Ramarama †	SALT	SAL		FOOD AND DRINK	1274		
Ramarama †	SAND	AREIA		PHYSICAL WORLD	1127		
Ramarama †	SAY	DIZER		SPEECH AND LANGUAGE	1458		
Ramarama †	SCARE	ASSUSTAR / AMEDRONTAR		EMOTIONS AND VALUES	252		
Ramarama †	SCORPION	ESCORPIÃO		ANIMALS	1538		
Ramarama †	SEE	VER		SENSE PERCEPTION	1409		
Ramarama †	SEED	SEMENTE		AGRICULTURE AND VEGETATION	714		
Ramarama †	SEEK / LOOK FOR / SEARCH	BUSCAR / PROCURAR		POSSESSION	1468		
Ramarama †	SEND	ENVIAR		MOTION	1127		
Ramarama †	SHAMAN	PAJÉ		RELEGION AND BELIEF	394		
Ramarama †	SHARPEN	AFIAR		SENSE PERCEPTION	251		
Ramarama †	SHELL / BARK	CASCA / PELE		AGRICULTURE AND VEGETATION	1204 / 2127		
Ramarama †	SHELL	CONCHA		ANIMALS	598		
Ramarama †	SHORT	CURTO		SPATIAL RELATIONS	1645		
Ramarama †	SICK / ILL	DOENTE		BODY	1847		
Ramarama †	SING	CANTAR		SPEECH AND LANGUAGE	1261		
Ramarama †	SISTER	IRMÃ		KINSHIP	1263		
Ramarama †	SIT	SENTAR(-SE)		SPATIAL RELATIONS	1416		
Ramarama †	SKIN	PELE		BODY	763		
Ramarama †	SKY	CÉU		PHYSICAL WORLD	1732		
Ramarama †	SLEEP	DORMIR		BODY	1585		
Ramarama †	SLOTH	BICHO PREGUIÇA		ANIMALS	2446		
Ramarama †	SMALL	PEQUENO		SPATIAL RELATIONS	1246		
Ramarama †	SMOKE (N)	FUMAÇA		PHYSICAL WORLD	778		
Ramarama †	SNAIL	CARACOL / LESMA		ANIMALS	1543		
Ramarama †	SNAKE	COBRA		ANIMALS	730		
Ramarama †	SNORE	RONCAR		BODY	1983		
Ramarama †	SON OF WOMAN	FILHO DE MULHER		KINSHIP	1620		
Ramarama †	SON OF MAN	FILHO DE HOMEN		KINSHIP	1620		
Ramarama †	SOUR / ACID /BITTER	AZEDO / AMARGO		SENSE PERCEPTION	1906		
Ramarama †	SPEAK	FALAR		SPEECH AND LANGUAGE	1623		
Ramarama †	SPIDER	ARANHA		ANIMALS	843		
Ramarama †	SPIDER MONKEY /	MACACO PRETO / MACACO ARANHA / COATÁ		ANIMALS	434		
Ramarama †	SPROUT	BROTAR		BASIC ACTIONS AND TECHNOLOGY	2076		
Ramarama †	SQUIRREL	ESQUILO		ANIMALS	1628		
Ramarama †	STAND	ESTAR DE/EM PÉ / LEVANTAR		BODY	1442		
Ramarama †	STAR	ESTRELA		PHYSICAL WORLD	1430		
Ramarama †	STINGRAY	ARRAIA		ANIMALS	1910		
Ramarama †	STOMACH	ESTÔMAGO		BODY	819		
Ramarama †	STONE	PEDRA		PHYSICAL WORLD	857		
Ramarama †	STRONG	FORTE		BODY	785		
Ramarama †	SUCK	SUGAR / CHUPAR		FOOD AND DRINK	1421		
Ramarama †	SUN	SOL		PHYSICAL WORLD	1343		
Ramarama †	SURUBIM_FISH	PINTADO / BAGRE (?)		ANIMALS			
Ramarama †	SWEEP	VARRER		BASIC ACTIONS AND TECHNOLOGY	230		
Ramarama †	SWEET	DOCE		SENSE PERCEPTION	717		
Ramarama †	SWEET POTATO	BATAT-DOCE		FOOD AND DRINK	159		
Ramarama †	SWIM	NADAR		MOTION	1439		
Ramarama †	TAIL	RABO / CAUDA		BODY	1220		
Ramarama †	TAPIR	ANTA		ANIMALS	312		
Ramarama †	TAYRA	IRARA		ANIMALS			
Ramarama †	TEACH	ENSINAR		COGNITION	709		
Ramarama †	TELL / NARRATE	CONTAR		SPEECH AND LANGUAGE	1711		
Ramarama †	TERMINATE / FINISH	ACABAR / TERMINAR		TIME	1766		
Ramarama †	TERMITE	CUPIM		ANIMALS	883		
Ramarama †	TESTICLES	TESTÍCULOS		BODY	797		
Ramarama †	THAT	AQUELE / AQUILO		MISCELLANEOUS FUNCTION WORDS	78		
Ramarama †	THICK	GROSSO		SPATIAL RELATIONS	1244		
Ramarama †	THING	COISA		POSSESSION	738		
Ramarama †	THIS	ESTE		MISCELLANEOUS FUNCTION WORDS	1214		
Ramarama †	THREE	TRÊS		QUANTITY	492		
Ramarama †	THORN	ESPINHO		AGRICULTURE AND VEGETATION	124		
Ramarama †	THUNDER	TROVÃO		PHYSICAL WORLD	1150		
Ramarama †	THROAT	GARGANTA		BODY	1346		
Ramarama †	TICK	CARRAPATO		ANIMALS	1527		
Ramarama †	TIE	ATAR / AMARRAR		BASIC ACTIONS AND TECHNOLOGY	1917		
Ramarama †	TIMBO LIANA	TIMBÓ		AGRICULTURE AND VEGETATION	2388		
Ramarama †	TINAMOU	INHAMBU / NAMBU / PERDIZ / XORORÓ		ANIMALS			
Ramarama †	TIRED	CANSADO		BODY	1757		
Ramarama †	TOBACCO	FUMO / TABACO		AGRICULTURE AND VEGETATION	974		
Ramarama †	TODAY	HOJE		TIME	1283		
Ramarama †	TOMORROW	AMANHÃ		TIME	1329		
Ramarama †	TONGUE	LÍNGUA		BODY	1205		
Ramarama †	TOOTH	DENTE		BODY	1380		
Ramarama †	TOUCAN	TUCANO		ANIMALS	308		
Ramarama †	TRAHIRA FISH	TRAÍRA		ANIMALS			
Ramarama †	TREE	ÁRVORE		AGRICULTURE AND VEGETATION	906		
Ramarama †	TUCUMA_PALM	TUCUMÃ		AGRICULTURE AND VEGETATION	2439		
Ramarama †	TURTLE	TARTARUGA		ANIMALS	112		
Ramarama †	TWO	DOIS / DUAS		QUANTITY	1498		
Ramarama †	UGLY	FEIO		EMOTIONS AND VALUES	1548		
Ramarama †	UNCLE (MOBR)	TIO (MATERNO)		KINSHIP	2692		
Ramarama †	UNTIE	DESATAR / DESAMARRAR / SOLTAR		BASIC ACTIONS AND TECHNOLOGY	352		
Ramarama †	URINATE	URINAR		BODY			
Ramarama †	VEIN	VEIA		BODY	1924		
Ramarama †	VILLAGE	ALDEIA		SOCIAL AND POLITICAL RELATIONS	930		
Ramarama †	VILLAGE SQUARE	PÁTIO /PRAÇA					
Ramarama †	VOMIT	VOMITAR		BODY	1278		
Ramarama †	VULTURE	URUBÚ		ANIMALS	1185		
Ramarama †	WAKE UP			THE BODY	1602		
Ramarama †	WALK	ANDAR / CAMINHAR		MOTION	1443		
Ramarama †	WANT	QUERER		EMOTIONS AND VALUES	1784		
Ramarama †	WASH	LAVAR		BASIC ACTIONS AND TECHNOLOGY	1453		
Ramarama †	WASP	VESPA		ANIMALS	1517		
Ramarama †	WATER	ÁGUA		PHYSICAL WORLD	948		
Ramarama †	WAX	CERA					
Ramarama †	WE (EXCL)	NÓS		KINSHIP	1130		
Ramarama †	WE (INCL)	NÓS		KINSHIP	1131		
Ramarama †	WEAVE	TECER		BASIC ACTIONS AND TECHNOLOGY	133		
Ramarama †	WET	MOLHADO		SENSE PERCEPTION	1726		
Ramarama †	WHAT (?)	OQUÊ		MISCELLANEOUS FUNCTION WORDS	1236		
Ramarama †	WHITE	BRANCO		SENSE PERCEPTION	1335		
Ramarama †	WHO (?)	QUEM		MISCELLANEOUS FUNCTION WORDS	1235		
Ramarama †	WIFE	ESPOSA		KINSHIP	1199		
Ramarama †	WILD CAT	GATO DO MATO		ANIMALS	2241		
Ramarama †	WILD DOG	CACHORRO DO MATO		ANIMALS	2448		
Ramarama †	WIND	VENTO		PHYSICAL WORLD	960		
Ramarama †	WING	ASA		BODY	1257		
Ramarama †	WING(2)	ASA		BODY	1257		
Ramarama †	WOODPECKER	PICA-PAU		ANIMALS	2447		
Ramarama †	WOMAN	MULHER		KINSHIP	962		
Ramarama †	(EARTH) WORM	VERME / MINHOCA		ANIMALS	2350		
Ramarama †	WOUND	FERIDA		THE BODY	1109		
Ramarama †	YELLOW	AMARELO		SENSE PERCEPTION	1424		
Ramarama †	YOU (SG)	VOCÊ / TU		KINSHIP	1213		
Ramarama †	YOU (PL)	VOCÊS / VÓS		KINSHIP	1213		
Makurap	ABOVE	EM CIMA (DE)	teteʔ	SPATIAL RELATIONS	1741	1	
Makurap	AFTER	DEPOIS (DE)		SPATIAL RELATIONS	1685		
Makurap	AGOUTI / PACA	CUTIA	mãkɨ̃ja	ANIMALS	313	2	
Makurap	ALL	TODOS / TUDO	βiibmõ / ŋitoɲə̃ʔ	QUANTITY	98	C /	/ also means 'well'
Makurap	ALONE	SÓ / SOZINHO		QUANTITY	1964		
Makurap	ANACONDA	SUCURI	ɨdnajã	ANIMALS	896		
Makurap	ANATTO	URUCU	iko	AGRICULTURE AND VEGETATION		4	
Makurap	ANT	FORMIGA	bɨtɨraj	ANIMALS	587		
Makurap	ANTEATER	TAMANDUÁ	ũbatʃi	ANIMALS	181		
Makurap	MOUNTAIN SOURSOP	ARATICUM / JACA DE POBRE		FOOD AND DRINK			
Makurap	ARM	BRAÇO		BODY	1673		
Makurap	ARMADILLO	TATU	tajto	ANIMALS	1885	1	
Makurap	ARRIVE	CHEGAR	kɨrɨj / awogot	MOTION	1387	2	
Makurap	ARROW	FLECHA	biareʔ / toraka	WARFARE AND HUNTING	977	0 /	
Makurap	ASH	CINZA(S)	kɨ̃jẽẽn	PHYSICAL WORLD	646	6	
Makurap	AVENGE	VINGAR(-SE)			495		
Makurap	AXE	MACHADO	βiʔ	WARFARE AND HUNTING	677	1	
Makurap	AÇAÍ PALM	AÇAÍ	βiri-tʃa	AGRICULTURE AND VEGETATION	2437	2	
Makurap	BACK	COSTAS	watpja / ɨro	BODY	1291	7 / 5	
Makurap	BABAÇU	BABAÇU		AGRICULTURE AND VEGETATION			
Makurap	BAD / EVIL	MAU / MAL / RUIM		EMOTIONS AND VALUES	3764		
Makurap	BAMBOO	TAQUARA / BAMBU		AGRICULTURE AND VEGETATION	1827		
Makurap	BANANA	BANANA	pakoʔ	FOOD AND DRINK	868	1	
Makurap	BASKET	CESTO / CESTA	kakeʔ	BASIC ACTIONS AND TECHNOLOGY	1539		
Makurap	BAT	MORCEGO	wajtʃa-liaj	ANIMALS	1793	7	
Makurap	BATHE	BANHAR-SE	tʃato	BODY	138	1	
Makurap	BEADS	MIÇANGAS / CONTAS		CLOTHING AND GROOMING	1860		
Makurap	BE WRONG	ERRAR / ESTAR ERRADO		EMOTIONS AND VALUES	1390		
Makurap	BEANS	FEIJÃO	kakeʔ	FOOD AND DRINK	2574		
Makurap	BEARD	BARBA	ɲikutʃap	BODY	678		
Makurap	BEAUTIFUL	BONITO		EMOTIONS AND VALUES	1427		
Makurap	BEE	ABELHA	akɨja	ANIMALS	665		
Makurap	BELLY	UMBIGO	ɲeɨpe / ahunhɨʔa	BODY	1251		
Makurap	BELLYBUTTON	UMBIGO		BODY	3715		
Makurap	BELOW	EM BAIXO DE / ABAIXO		SPATIAL RELATIONS	1485		
Makurap	BENCH	BANCO			2584		
Makurap	BIG	GRANDE	tʃato	SPATIAL RELATIONS	1202		
Makurap	BIRD	PÁSSARO	mõkira	ANIMALS	937		
Makurap	BITE	MORDER	mboroŋga	BODY	1403	5	
Makurap	BLACK	PRETO	kõm	SENSE PERCEPTION	163		
Makurap	BLOOD	SANGUE	t(ʃ)eɨ	BODY	946	1	
Makurap	BLOW	SOPRAR		MOTION	176		
Makurap	BLUE	AZUL	ɲaramtjiat	SENSE PERCEPTION	837		
Makurap	BONE	OSSO	tʃeβaoo	BODY	1394		
Makurap	BOW	ARCO		WARFARE AND HUNTING	994		
Makurap	BOY	MENINO		KINSHIP	1366		
Makurap	BRANCH	GALHO		AGRICULTURE AND VEGETATION	1531		
Makurap	BRAZIL NUT	CASTANHA DO PARÁ	arao	FOOD AND DRINK			
Makurap	BREAK	QUEBRAR / ROMPER		BASIC ACTIONS AND TECHNOLOGY	3020		
Makurap	BREAST	SEIO	ŋẽm	BODY	1402	1	Female 'breast'
Makurap	BREATHE	RESPIRAR		BODY	1407		
Makurap	BROTHER	IRMÃO	-tʃ-oa-t	KINSHIP	1262		
Makurap	BURN (INTR)	QUEIMAR	ekarĩnã*	PHYSICAL WORLD	2102		
Makurap	BURN (TR)	QUEIMAR	akaɾinǝ̃ʔ	PHYSICAL WORLD	141		
Makurap	BURY	ENTERRAR		BODY	1719		
Makurap	BUTTOCKS	NÁDEGAS		BODY	834		
Makurap	SLASH / GARDEN	ROÇA		AGRICULTURE AND VEGETATION	201		
Makurap	BUTTERFLY	BORBOLETA	dʒarɨre	ANIMALS	1791		
Makurap	CALABASH / GOURD	CABAÇA, CUIA	akaja	AGRICULTURE AND VEGETATION	411		
Makurap	CANOE	CANOA	kɨpeʔ	MOTION	1970	6	
Makurap	CAPUCHIN MONKEY	MACACO PREGO	ʔõrõm	ANIMALS			
Makurap	CAPYBARA	CAPIVARA	tʃaβi	ANIMALS	314		
Makurap	CARÁ ROOT / YAM	INHAME	tʃewai	AGRICULTURE AND VEGETATION	410		
Makurap	CHIEF / MASTER / OWNER	CHEFE / CACIQUE		SOCIAL AND POLITICAL RELATIONS	2394		
Makurap	CASHEW	CAJU	mbaa	FOOD AND DRINK	2441		
Makurap	CHILD	CRIANÇA		KINSHIP	2099		
Makurap	CICADA	CIGARRA	worẽŋgope	ANIMALS	2353		
Makurap	CLAW	GARRA	mboape	BODY	2128		
Makurap	CLAY / MUD	BARRO / ARGILA		BASIC ACTIONS AND TECHNOLOGY / THE PHYSICAL WORLD	1399 / 640		
Makurap	CLOUD	NUVEM	ɨpɨget	PHYSICAL WORLD	1489	0	
Makurap	COATI	QUATI	merejə	ANIMALS	2389	0	
Makurap	COCKROACH	BARATA	jenpet.tik	ANIMALS	1575		
Makurap	COCOA	CACAU	ndɨnda	AGRICULTURE AND VEGETATION	2442		
Makurap	COLD	FRIO	tʃə̃k	SENSE PERCEPTION	1287		
Makurap	COME	VIR	ariot	MOTION	1446		
Makurap	COMB	PENTE		CLOTHING AND GROOMING	1475		
Makurap	CORN / MAIZE	MILHO	dʒɨt	AGRICULTURE AND VEGETATION	3686		
Makurap	COTTON	ALGODÃO	ororoʔ	CLOTHING AND GROOMING	1850	3	
Makurap	CRAB	CARANGUEIJO	amãjã	ANIMALS	2348		
Makurap	CRICKET (ZOOL)	GRILO	ŋgara	ANIMALS	2354		
Makurap	CRY	CHORAR		EMOTIONS AND VALUES	1839		
Makurap	CURASSOW	MUTUM	mĩtõ	ANIMALS	315		
Makurap	CUT	CORTAR	ndeŋa	BASIC ACTIONS AND TECHNOLOGY	1432		
Makurap	DANCE	DANÇAR		MOTION	1579		
Makurap	DAUGHTER OF WOMAN	FILHA DE MULHER	pirer	KINSHIP	1357		
Makurap	DAUGHTER OF MAN	FILHA DE HOMEM	taker	KINSHIP	1357		
Makurap	DAY	DIA		TIME	1260		
Makurap	DEER	VEADO	ɨtɨ	ANIMALS	1936	4	
Makurap	DEFECATE	DEFECAR	ɲed	BODY	676		
Makurap	DIE	MORRER	 pok / poti*	BODY	1494	4	
Makurap	DIG	CAVAR		AGRICULTURE AND VEGETATION	1418		
Makurap	DIGGING STICK			AGRICULTURE AND VEGETATION	339		
Makurap	DIRTY	SUJO		SENSE PERCEPTION	1230		
Makurap	DO / MAKE	FAZER	nəʔ	BASIC ACTIONS AND TECHNOLOGY	813	2	
Makurap	DOG	CACHORRO / CÃO	aware / amẽko	ANIMALS	2009	/ 2	/ also means 'jaguar'
Makurap	DOOR	PORTA		THE HOUSE	1567		
Makurap	DRAW / PAINT	PINTAR / DESENHAR		BASIC ACTIONS AND TECHNOLOGY	3122		
Makurap	DRESS UP	VESTIR(-SE)	korowa	CLOTHING AND GROOMING	814		
Makurap	DRINK (V)	BEBER	kaʔ / ekɨka	FOOD AND DRINK	1401	1	
Makurap	DRY	SECAR	mãrãk / wok	BASIC ACTIONS AND TECHNOLOGY	1786		
Makurap	DRY (STATE)	SECO		SENSE PERCEPTION	1398		
Makurap	EARTH / LAND	TERRA / PAÍS	kɨj	PHYSICAL WORLD	3603		
Makurap	EAR	ORELHA	apitʃep	BODY	1247		
Makurap	EAT (INTR.)	COMER	kǝ̃nǝ̃ʔ  	FOOD AND DRINK	1336		
Makurap	EAT (TR.)	COMER		FOOD AND DRINKFOOD AND DRINK	1336		
Makurap	EGG	OVO	tʃopia	FOOD AND DRINK	744		
Makurap	ELECTRIC EEL	ENGUIA / PEIXE ELÉTRICO / PORAQUÊ	ndoko	ANIMALS	2443		
Makurap	ENTER	ENTRAR		MOTION	749		
Makurap	EYE	OLHO	tiptʃaʔ	BODY	1248		
Makurap	FACE	CARA / ROSTO / FACE		BODY	1560		
Makurap	FALL	CAIR	kat	MOTION	1280		
Makurap	FAR	LONGE	wɛtok	SPATIAL RELATIONS	1406		
Makurap	FAT / GREASE	GORDURA	werep	FOOD AND DRINK	1282		
Makurap	FATHER	PAI	tʃo-et / aβa (voc)	KINSHIP	1217		
Makurap	FEAR / BE AFRAID	TEMER / TERMEDO		EMOTIONS AND VALUES	1419		
Makurap	FEATHER	PENA / PLUMA	tʃaa / taet	BODY	1201		
Makurap	FINGER	DEDO		BODY	1303		
Makurap	FIRE	FOGO	otʃat	PHYSICAL WORLD	221		
Makurap	FIREFLY / GLOWWORM	VAGALUME / PIRILAMPO	mboreeptʃop	ANIMALS	206		
Makurap	FIREWOOD	LENHA		PHYSICAL WORLD	10		
Makurap	FISH	PEIXE	potkap	ANIMALS	227		
Makurap	FISHHOOK	ANZOL		WARFARE AND HUNTING	1074		
Makurap	FLAT	PLANO / LISO		SPATIAL RELATIONS	1633		
Makurap	FLEA / CHIGGER	PULGA	joŋ	ANIMALS	232		
Makurap	FLESH / MEAT	CARNE	ɲirǝ̃ʔ  	FOOD AND DRINK	2615		
Makurap	FLOUR	FARINHA	tʃaɨ	FOOD AND DRINK	1594	6	
Makurap	FLOWER	FLOR		AGRICULTURE AND VEGETATION	239		
Makurap	FLY	VOAR	atʃɨɾɨpaʔ	MOTION	1441		
Makurap	FLY (INSECT)	MOSCA	meroə	ANIMALS	1504		
Makurap	FOOD	COMIDA		FOOD AND DRINK	256		
Makurap	FOOT	PÉ	biʔ	BODY	1301	1	
Makurap	FORGET	ESQUECER		COGNITION	1523		
Makurap	FOUR	QUATRO		QUANTITY	1500		
Makurap	FROG / TOAD	SAPO	kaai	ANIMALS	503		
Makurap	FRUIT	FRUTA		FOOD AND DRINK	1507		
Makurap	FULL	CHEIO	tõm	QUANTITY	1429		
Makurap	GATHER	(A)JUNTAR / RECOLHER		SPATIAL RELATIONS	7		
Makurap	GENIPA	JENIPAPO / GENIPA	mẽtʃaap	AGRICULTURE AND VEGETATION			
Makurap	GIRL	MENINA		KINSHIP	1646		
Makurap	GIVE	DAR	õǝ̃ʔ	POSSESSION	1447		
Makurap	GNAT / PIUM	MOSQUITO / PERNILONGO / BORRACHUDO	mbio tʃato	ANIMALS			
Makurap	GO	IR	tet	MOTION	695		
Makurap	GO UP	SUBIR		MOTION	705		
Makurap	GOOD / WELL	BOM / BEM	poaret / poat	EMOTIONS AND VALUES	1035		
Makurap	GRANDFATHER	AVÔ	awato	KINSHIP	1383		
Makurap	GRASS	GRAMA		AGRICULTURE AND VEGETATION	606		
Makurap	GREEN	VERDE	atiʔ / ɲẽrẽm	SENSE PERCEPTION	1425 / 2382		also 'unripe' /
Makurap	GROW	CRESCER		SPATIAL RELATIONS	479		
Makurap	GREEN IGUANA	CAMALEÃO	tʃakotʃato	ANIMALS	1578	2	
Makurap	GUAN / JACU	JACÚ	βakupẽm	ANIMALS	437		
Makurap	HAIR	CABELO	tɨm	BODY	2648	1	
Makurap	HAMMOCK	REDE	erĩ	HOUSE	2019	1	
Makurap	HAND	MÃO	mboʔ	BODY	1277	1	
Makurap	HAPPY	FELIZ / CONTENTE	apiterom / irik	EMOTIONS AND VALUES	1495		
Makurap	HAWK	GAVIÃO	pãriõ	ANIMALS	307		
Makurap	HEAD	CABEÇA	akale	BODY	1256		
Makurap	HEAL	CURAR / SARAR		BODY	499		
Makurap	HEAR / LISTEN	ESCUTAR / OUVIR	kiwatoaʔ 	SENSE PERCEPTION	1408 / 1608		Also means 'to know'
