Language	Concept	Portuguese	Form	Semantic	Concepticon	Cognate	Notes
Xipaya	CRY	CHORAR	ya	EMOTIONS AND VALUES	1839		
Xipaya	CURASSOW	MUTUM	takũ	ANIMALS	315	4	
Xipaya	CUT	CORTAR	akɨrɨ	BASIC ACTIONS AND TECHNOLOGY	1432		
Xipaya	DANCE	DANÇAR		MOTION	1579		
Xipaya	DAUGHTER OF WOMAN	FILHA DE MULHER	azia / mãbɨá	KINSHIP	1357		
Xipaya	DAUGHTER OF MAN	FILHA DE HOMEM	azia / mãbɨá	KINSHIP	1357		
Xipaya	DAY	DIA	kaapa	TIME	1260		
Xipaya	DEER	VEADO	ahua	ANIMALS	1936		
Xipaya	DEFECATE	DEFECAR		BODY	676		
Xipaya	DIE	MORRER	hejã	BODY	1494	3	
Xipaya	DIG	CAVAR	pɨ́pɨ	AGRICULTURE AND VEGETATION	1418		
Xipaya	DIGGING STICK			AGRICULTURE AND VEGETATION	339		
Xipaya	DIRTY	SUJO	dʒidiku	SENSE PERCEPTION	1230		
Xipaya	DO / MAKE	FAZER	kariku	BASIC ACTIONS AND TECHNOLOGY	813	5	
Xipaya	DOG	CACHORRO / CÃO	apɨ	ANIMALS	2009	3	
Xipaya	DOOR	PORTA		THE HOUSE	1567		
Xipaya	DRAW / PAINT	PINTAR / DESENHAR	waʃí / wuri	BASIC ACTIONS AND TECHNOLOGY	3122		
Xipaya	DRESS UP	VESTIR(-SE)		CLOTHING AND GROOMING	814		
Xipaya	DRINK (V)	BEBER	wi	FOOD AND DRINK	1401		
Xipaya	DRY	SECAR	kɨrɨtu	BASIC ACTIONS AND TECHNOLOGY	1786		
Xipaya	DRY (STATE)	SECO	base / iɲã	SENSE PERCEPTION	1398		
Xipaya	EARTH / LAND	TERRA / PAÍS	ipɨa	PHYSICAL WORLD	3603		
Xipaya	EAR	ORELHA	jãʃuka	BODY	1247		
Xipaya	EAT (INTR.)	COMER	etúku	FOOD AND DRINK	1336		
Xipaya	EAT (TR.)	COMER	ʃu	FOOD AND DRINKFOOD AND DRINK	1336		
Xipaya	EGG	OVO	i-dʒia	FOOD AND DRINK	744		
Xipaya	ELECTRIC EEL	ENGUIA / PEIXE ELÉTRICO / PORAQUÊ	pãnãki	ANIMALS	2443		
Xipaya	ENTER	ENTRAR	esu	MOTION	749		
Xipaya	EYE	OLHO	-séa	BODY	1248		
Xipaya	FACE	CARA / ROSTO / FACE	tapiza	BODY	1560		
Xipaya	FALL	CAIR	aza	MOTION	1280		
Xipaya	FAR	LONGE	dɨau	SPATIAL RELATIONS	1406		
Xipaya	FAT / GREASE	GORDURA	kapa	FOOD AND DRINK	1282	1	
Xipaya	FATHER	PAI	pa	KINSHIP	1217		
Xipaya	FEAR / BE AFRAID	TEMER / TERMEDO	sene**	EMOTIONS AND VALUES	1419		
Xipaya	FEATHER	PENA / PLUMA	-taba	BODY	1201		
Xipaya	FINGER	DEDO	maraʃá / ba	BODY	1303		also means 'hand'
Xipaya	FIRE	FOGO	aʃi 	PHYSICAL WORLD	221		
Xipaya	FIREFLY / GLOWWORM	VAGALUME / PIRILAMPO		ANIMALS	206		
Xipaya	FIREWOOD	LENHA	aʃí	PHYSICAL WORLD	10		
Xipaya	FISH	PEIXE	ʃíta	ANIMALS	227		
Xipaya	FISHHOOK	ANZOL	pinã	WARFARE AND HUNTING	1074		
Xipaya	FLAT	PLANO / LISO		SPATIAL RELATIONS	1633		
Xipaya	FLEA / CHIGGER	PULGA	pɨra	ANIMALS	232		
Xipaya	FLESH / MEAT	CARNE	ata	FOOD AND DRINK	2615		
Xipaya	FLOUR	FARINHA	asa	FOOD AND DRINK	1594	5	
